Testfall	ToolID	Variable	Fehlercode	Max	Min	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R² coefficient determination	std dev	SimQuality-Score	SimQ-Einordnung
04-WaermeleitungSpeicherung	ETU	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	91.03999999999999	Silver
04-WaermeleitungSpeicherung	IDAICE	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	96.508	Gold
04-WaermeleitungSpeicherung	IDAICE	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	91.452	Silver
04-WaermeleitungSpeicherung	IDAICE	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.11200000000001	Silver
04-WaermeleitungSpeicherung	IDAICE	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	97.66400000000002	Gold
04-WaermeleitungSpeicherung	IDAICE	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	95.23400000000001	Gold
04-WaermeleitungSpeicherung	IDAICE	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	97.86399999999999	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
04-WaermeleitungSpeicherung	TAS	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	97.60800000000002	Gold
04-WaermeleitungSpeicherung	TAS	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.51599999999999	Gold
04-WaermeleitungSpeicherung	TAS	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	97.80199999999999	Gold
04-WaermeleitungSpeicherung	TAS	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.94	Gold
04-WaermeleitungSpeicherung	TAS	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.168	Gold
04-WaermeleitungSpeicherung	TAS	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.48	Gold
04-WaermeleitungSpeicherung	THERAKLES	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.324	Gold
04-WaermeleitungSpeicherung	THERAKLES	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.78599999999999	Gold
04-WaermeleitungSpeicherung	THERAKLES	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	0	Failed
04-WaermeleitungSpeicherung	THERAKLES	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	0	Failed
04-WaermeleitungSpeicherung	THERAKLES	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	0	Failed
04-WaermeleitungSpeicherung	THERAKLES	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	0	Failed
04-WaermeleitungSpeicherung	TRNSYS	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.34200000000001	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.748	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.586	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.864	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.8	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.89399999999999	Gold
05-Lueftung	Aixlib	Variante 1 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	96.79	Gold
05-Lueftung	Aixlib	Variante 2 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.03599999999999	Silver
05-Lueftung	Aixlib	Variante 2 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	88.822	Bronze
05-Lueftung	Aixlib	Variante 3 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	57.58399999999999	Failed
05-Lueftung	Aixlib	Variante 3 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	65.902	Failed
05-Lueftung	ETU	Variante 1 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	79.244	Failed
05-Lueftung	ETU	Variante 2 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	96.97999999999999	Gold
05-Lueftung	ETU	Variante 2 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	91.3	Silver
05-Lueftung	ETU	Variante 3 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.228	Silver
05-Lueftung	ETU	Variante 3 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	86.724	Bronze
05-Lueftung	ETU	Variante 4 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	82.91799999999999	Bronze
05-Lueftung	ETU	Variante 4 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.02999999999999	Gold
05-Lueftung	IDAICE	Variante 1 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	95.79	Gold
05-Lueftung	IDAICE	Variante 2 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.25	Gold
05-Lueftung	IDAICE	Variante 2 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.386	Silver
05-Lueftung	IDAICE	Variante 3 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	67.692	Failed
05-Lueftung	IDAICE	Variante 3 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	76.23599999999999	Failed
05-Lueftung	NANDRAD	Variante 1 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	NANDRAD	Variante 2 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	NANDRAD	Variante 2 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	NANDRAD	Variante 3 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	NANDRAD	Variante 3 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	NANDRAD	Variante 4 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	NANDRAD	Variante 4 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
05-Lueftung	TAS	Variante 1 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.534	Gold
05-Lueftung	TAS	Variante 2 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.268	Gold
05-Lueftung	TAS	Variante 2 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	89.148	Bronze
05-Lueftung	TAS	Variante 3 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.072	Silver
05-Lueftung	TAS	Variante 3 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	90.83599999999998	Silver
05-Lueftung	THERAKLES	Variante 1 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.962	Gold
05-Lueftung	THERAKLES	Variante 2 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.96400000000001	Gold
05-Lueftung	THERAKLES	Variante 2 Lueftungswaermestrom	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	89.426	Bronze
05-Lueftung	THERAKLES	Variante 3 Raumlufttemperatur	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.42600000000002	Gold
