Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]
3589	29.9505	495.454	0	19.2955	878.532	0	31.9383	12.4742	28.0056	12.4742	12.4742	12.4742	12.4742
3590	29.9507	492.828	0	19.4368	877.769	0	32.073	12.6358	28.1545	12.6358	12.6358	12.6358	12.6358
3591	29.951	490.294	0	19.5699	876.181	0	32.1865	12.7778	28.2691	12.7778	12.7778	12.7778	12.7778
3592	29.9512	487.837	0	19.696	873.917	0	32.282	12.9208	28.3726	12.9208	12.9208	12.9208	12.9208
3593	29.9515	485.446	0	19.8161	871.042	0	32.3623	13.0651	28.4665	13.0651	13.0651	13.0651	13.0651
3594	29.9517	483.115	0	19.9309	867.684	0	32.4301	13.2079	28.5503	13.2079	13.2079	13.2079	13.2079
3595	29.9519	480.841	0	20.0415	863.942	0	32.4878	13.3491	28.6256	13.3491	13.3491	13.3491	13.3491
3596	29.9521	478.62	0	20.1483	859.899	0	32.5372	13.4886	28.6939	13.4886	13.4886	13.4886	13.4886
4360	29.9652	348.016	0	29.7193	306.712	0	34.1367	27.3484	32.7727	27.3484	27.3484	27.3484	27.3484
4361	29.9657	342.839	0	29.7488	305.333	0	34.1475	27.3877	32.7874	27.3877	27.3877	27.3877	27.3877
4362	29.9663	337.344	0	29.7802	303.843	0	34.1587	27.4297	32.8029	27.4297	27.4297	27.4297	27.4297
4363	29.9669	331.537	0	29.8135	302.244	0	34.1701	27.4745	32.8193	27.4745	27.4745	27.4745	27.4745
4364	29.9675	325.425	0	29.8487	300.536	0	34.1819	27.522	32.8364	27.522	27.522	27.522	27.522
4365	29.9681	319.016	0	29.8857	298.719	0	34.194	27.5722	32.8544	27.5722	27.5722	27.5722	27.5722
4366	29.9688	312.316	0	29.9246	296.796	0	34.2064	27.6251	32.8731	27.6251	27.6251	27.6251	27.6251
4367	29.9695	305.332	0	29.9653	294.766	0	34.219	27.6807	32.8926	27.6807	27.6807	27.6807	27.6807
4368	29.9702	298.07	0	30.0078	292.63	0	34.2319	27.7388	32.9128	27.7388	27.7388	27.7388	27.7388
4369	29.9709	290.537	0	30.0521	290.389	0	34.2451	27.7996	32.9338	27.7996	27.7996	27.7996	27.7996
4370	29.9717	282.738	0	30.0981	288.045	0	34.2586	27.863	32.9556	27.863	27.863	27.863	27.863
4371	29.9725	274.68	0	30.1459	285.599	0	34.2723	27.9288	32.978	27.9288	27.9288	27.9288	27.9288
4372	29.9734	266.37	0	30.1955	283.05	0	34.2863	27.9972	33.0012	27.9972	27.9972	27.9972	27.9972
4373	29.9742	257.811	0	30.2467	280.403	0	34.3005	28.068	33.0251	28.068	28.068	28.068	28.068
4374	29.9751	249.011	0	30.2996	277.658	0	34.315	28.1413	33.0496	28.1413	28.1413	28.1413	28.1413
4375	29.976	239.98	0	30.3542	274.81	0	34.3295	28.2171	33.0749	28.2171	28.2171	28.2171	28.2171
4376	29.9769	230.776	0	30.41	271.866	0	34.3436	28.2951	33.1007	28.2951	28.2951	28.2951	28.2951
4377	29.9779	221.519	0	30.4667	268.846	0	34.357	28.3746	33.1268	28.3746	28.3746	28.3746	28.3746
4378	29.9788	212.315	0	30.5234	265.766	0	34.3694	28.4551	33.1527	28.4551	28.4551	28.4551	28.4551
4379	29.9797	203.228	0	30.5799	262.654	0	34.3811	28.5357	33.1782	28.5357	28.5357	28.5357	28.5357
4380	29.9806	194.296	0	30.6359	259.527	0	34.392	28.6159	33.2032	28.6159	28.6159	28.6159	28.6159
4381	29.9814	185.539	0	30.6914	256.397	0	34.4024	28.6958	33.2277	28.6958	28.6958	28.6958	28.6958
4382	29.9823	176.964	0	30.7463	253.274	0	34.4122	28.7749	33.2517	28.7749	28.7749	28.7749	28.7749
4383	29.9831	168.576	0	30.8006	250.163	0	34.4216	28.8534	33.2752	28.8534	28.8534	28.8534	28.8534
4384	29.984	160.373	0	30.8543	247.068	0	34.4306	28.9312	33.2982	28.9312	28.9312	28.9312	28.9312
4385	29.9848	152.355	0	30.9074	243.993	0	34.4393	29.0082	33.3209	29.0082	29.0082	29.0082	29.0082
4386	29.9855	144.517	0	30.9599	240.94	0	34.4478	29.0844	33.3431	29.0844	29.0844	29.0844	29.0844
4387	29.9863	136.857	0	31.0119	237.91	0	34.4559	29.1599	33.3651	29.1599	29.1599	29.1599	29.1599
4388	29.9871	129.372	0	31.0633	234.905	0	34.4639	29.2346	33.3867	29.2346	29.2346	29.2346	29.2346
4389	29.9878	122.056	0	31.1141	231.925	0	34.4717	29.3086	33.408	29.3086	29.3086	29.3086	29.3086
4390	29.9885	114.907	0	31.1644	228.972	0	34.4793	29.3819	33.429	29.3819	29.3819	29.3819	29.3819
4391	29.9892	107.921	0	31.2141	226.045	0	34.4868	29.4544	33.4498	29.4544	29.4544	29.4544	29.4544
4392	29.9899	101.094	0	31.2634	223.145	0	34.4942	29.5261	33.4703	29.5261	29.5261	29.5261	29.5261
4393	29.9906	94.4218	0	31.3121	220.273	0	34.5014	29.5972	33.4905	29.5972	29.5972	29.5972	29.5972
4394	29.9912	87.9022	0	31.3604	217.428	0	34.5085	29.6675	33.5106	29.6675	29.6675	29.6675	29.6675
4395	29.9918	81.531	0	31.4081	214.61	0	34.5155	29.7371	33.5304	29.7371	29.7371	29.7371	29.7371
4396	29.9925	75.305	0	31.4553	211.82	0	34.5225	29.806	33.5499	29.806	29.806	29.806	29.806
4397	29.9931	69.2209	0	31.5021	209.056	0	34.5293	29.8743	33.5693	29.8743	29.8743	29.8743	29.8743
4398	29.9937	63.2754	0	31.5484	206.32	0	34.5361	29.9418	33.5885	29.9418	29.9418	29.9418	29.9418
4399	29.9943	57.4653	0	31.5942	203.611	0	34.5427	30.0086	33.6074	30.0086	30.0086	30.0086	30.0086
4400	29.9948	51.7876	0	31.6395	200.928	0	34.5493	30.0748	33.6262	30.0748	30.0748	30.0748	30.0748
4401	29.9954	46.2392	0	31.6844	198.272	0	34.5558	30.1403	33.6447	30.1403	30.1403	30.1403	30.1403
4402	29.9959	40.8173	0	31.7289	195.643	0	34.5623	30.2052	33.6631	30.2052	30.2052	30.2052	30.2052
4403	29.9964	35.5189	0	31.7728	193.04	0	34.5686	30.2694	33.6813	30.2694	30.2694	30.2694	30.2694
4404	29.997	30.3412	0	31.8164	190.463	0	34.5749	30.3329	33.6993	30.3329	30.3329	30.3329	30.3329
4405	29.9975	25.2815	0	31.8595	187.911	0	34.5812	30.3958	33.7171	30.3958	30.3958	30.3958	30.3958
4406	29.998	20.3371	0	31.9021	185.386	0	34.5873	30.4581	33.7347	30.4581	30.4581	30.4581	30.4581
4407	29.9984	15.5053	0	31.9444	182.885	0	34.5934	30.5198	33.7522	30.5198	30.5198	30.5198	30.5198
4408	29.9989	10.7836	0	31.9862	180.41	0	34.5995	30.5808	33.7694	30.5808	30.5808	30.5808	30.5808
4409	29.9994	6.16943	0	32.0276	177.959	0	34.6055	30.6412	33.7865	30.6412	30.6412	30.6412	30.6412
4410	29.9998	1.65908	0	32.0686	175.533	0	34.6114	30.701	33.8034	30.701	30.701	30.701	30.701
4411	30.0149	0	0	32.1091	173.132	0	34.6172	30.7602	33.8202	30.7602	30.7602	30.7602	30.7602
