Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.1 Rücklauftemperatur [C]	Variante 10.1 Innentemperatur.Wand.Nord [C]	Variante 10.1 Innentemperatur.Wand.Süd [C]	Variante 10.1 Innentemperatur.Boden [C]	Variante 10.1 Innentemperatur.Wand.Ost [C]	Variante 10.1 Innentemperatur.Wand.West [C]	Variante 10.1 Innentemperatur.Dach [C]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.West [C]	Variante 10.6 Innentemperatur.Dach [C]
2091	10	384.104	0	0	7.522	7.522	7.522	7.522	7.522	334.542	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.766	0	0	23.746	18.972	18.972	23.073	18.972	18.972	18.972	20.126	0	0	21.384	19.597	19.597	20.803	19.6	19.6	19.604	10.246	0	0	10.233	10.243	10.243	10.244	10.243	10.243	10.243
2092	10	384.106	0	0	7.522	7.522	7.522	7.522	7.522	334.544	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.554	0	0	23.305	18.956	18.956	22.612	18.956	18.956	18.956	20.058	0	0	21.224	19.565	19.565	20.688	19.568	19.568	19.571	10.233	0	0	10.216	10.229	10.229	10.23	10.229	10.229	10.229
2093	10	384.109	0	0	7.522	7.522	7.522	7.522	7.522	334.546	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.394	0	0	22.972	18.932	18.932	22.28	18.932	18.932	18.932	19.988	0	0	21.069	19.53	19.53	20.575	19.532	19.532	19.535	10.216	0	0	10.197	10.213	10.213	10.213	10.213	10.213	10.213
2094	10	384.111	0	0	7.522	7.522	7.522	7.522	7.522	334.548	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.264	0	0	22.698	18.903	18.903	22.022	18.903	18.903	18.903	20.994	2707.018	0	28.524	19.623	19.623	22.906	19.626	19.626	19.63	10.198	0	0	10.176	10.193	10.193	10.194	10.193	10.193	10.193
2095	10	384.113	0	0	7.522	7.522	7.522	7.522	7.522	334.55	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.153	0	0	22.461	18.872	18.872	21.807	18.872	18.872	18.872	21.206	0	0	24.105	19.736	19.736	23.073	19.739	19.739	19.745	10.177	0	0	10.154	10.173	10.173	10.173	10.173	10.173	10.173
2096	10	384.116	0	0	7.522	7.522	7.522	7.522	7.522	334.552	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.052	0	0	22.246	18.84	18.84	21.619	18.84	18.84	18.84	20.867	0	0	23.221	19.727	19.727	22.315	19.73	19.73	19.736	10.155	0	0	10.131	10.15	10.15	10.151	10.15	10.15	10.15
2097	10	384.118	0	0	7.522	7.522	7.522	7.522	7.522	334.554	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.281	3014.945	0	27.787	18.823	18.823	22.33	18.823	18.823	18.823	20.63	0	0	22.684	19.69	19.69	21.828	19.693	19.693	19.698	10.132	0	0	10.106	10.127	10.127	10.127	10.127	10.127	10.127
2098	10	384.12	0	0	7.522	7.522	7.522	7.522	7.522	334.556	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.37	0	0	25.719	18.901	18.901	24.57	18.901	18.901	18.901	20.463	0	0	22.313	19.648	19.648	21.505	19.651	19.651	19.656	10.108	0	0	10.084	10.103	10.103	10.104	10.103	10.103	10.103
2099	10	384.122	0	0	7.522	7.522	7.522	7.522	7.522	334.558	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.091	0	0	24.599	18.923	18.923	23.876	18.923	18.923	18.923	20.336	0	0	22.03	19.607	19.607	21.27	19.609	19.609	19.614	10.085	0	0	10.063	10.081	10.081	10.081	10.081	10.081	10.081
2100	10	384.124	0	0	7.522	7.522	7.522	7.522	7.522	334.56	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.802	0	0	23.995	18.911	18.911	23.237	18.911	18.911	18.911	20.233	0	0	21.795	19.567	19.567	21.085	19.57	19.57	19.574	10.065	0	0	10.048	10.061	10.061	10.062	10.061	10.061	10.061
2101	10	384.126	0	0	7.522	7.522	7.522	7.522	7.522	334.562	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.594	0	0	23.569	18.889	18.889	22.793	18.889	18.889	18.889	20.143	0	0	21.591	19.53	19.53	20.928	19.532	19.532	19.536	10.05	0	0	10.038	10.047	10.047	10.048	10.047	10.047	10.047
2102	10	384.128	0	0	7.522	7.522	7.522	7.522	7.522	334.563	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.439	0	0	23.241	18.866	18.866	22.47	18.866	18.866	18.866	20.062	0	0	21.408	19.495	19.495	20.789	19.497	19.497	19.501	10.039	0	0	10.033	10.038	10.038	10.038	10.038	10.038	10.038
2103	10	384.13	0	0	7.522	7.522	7.522	7.522	7.522	334.565	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.315	0	0	22.97	18.843	18.843	22.217	18.843	18.843	18.843	19.988	0	0	21.24	19.461	19.461	20.664	19.463	19.463	19.467	10.035	0	0	10.034	10.034	10.034	10.034	10.034	10.034	10.034
2104	10	384.132	0	0	7.522	7.522	7.522	7.522	7.522	334.567	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.21	0	0	22.733	18.821	18.821	22.006	18.821	18.821	18.821	20.982	2675.957	0	28.598	19.56	19.56	22.961	19.563	19.563	19.567	10.034	0	0	10.038	10.035	10.035	10.035	10.035	10.035	10.035
2105	10	384.134	0	0	7.522	7.522	7.522	7.522	7.522	334.568	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.117	0	0	22.518	18.8	18.8	21.82	18.8	18.8	18.8	21.196	0	0	24.225	19.681	19.681	23.123	19.684	19.684	19.69	10.038	0	0	10.044	10.039	10.039	10.039	10.039	10.039	10.039
2106	10	384.136	0	0	7.522	7.522	7.522	7.522	7.522	334.57	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.032	0	0	22.319	18.78	18.78	21.651	18.78	18.78	18.78	20.868	0	0	23.348	19.684	19.684	22.375	19.687	19.687	19.692	10.044	0	0	10.053	10.046	10.046	10.046	10.046	10.046	10.046
2107	10	384.138	0	0	7.522	7.522	7.522	7.522	7.522	334.571	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.272	2994.945	0	27.835	18.776	18.776	22.371	18.776	18.776	18.776	20.642	0	0	22.816	19.659	19.659	21.896	19.662	19.662	19.667	10.053	0	0	10.062	10.054	10.054	10.054	10.054	10.054	10.054
2108	10	384.139	0	0	7.522	7.522	7.522	7.522	7.522	334.573	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.365	0	0	25.787	18.866	18.866	24.607	18.866	18.866	18.866	20.485	0	0	22.448	19.629	19.629	21.58	19.632	19.632	19.637	10.061	0	0	10.07	10.063	10.063	10.063	10.063	10.063	10.063
2109	10	384.141	0	0	7.522	7.522	7.522	7.522	7.522	334.574	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.098	0	0	24.678	18.899	18.899	23.924	18.899	18.899	18.899	20.367	0	0	22.164	19.599	19.599	21.351	19.602	19.602	19.606	10.069	0	0	10.077	10.071	10.071	10.071	10.071	10.071	10.071
2110	10	384.143	0	0	7.522	7.522	7.522	7.522	7.522	334.576	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.817	0	0	24.077	18.894	18.894	23.293	18.894	18.894	18.894	20.269	0	0	21.927	19.568	19.568	21.168	19.571	19.571	19.575	10.076	0	0	10.081	10.077	10.077	10.077	10.077	10.077	10.077
2111	10	384.144	0	0	7.522	7.522	7.522	7.522	7.522	334.577	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.614	0	0	23.651	18.877	18.877	22.853	18.877	18.877	18.877	20.182	0	0	21.716	19.536	19.536	21.011	19.538	19.538	19.542	10.08	0	0	10.083	10.081	10.081	10.081	10.081	10.081	10.081
2112	10	384.146	0	0	7.522	7.522	7.522	7.522	7.522	334.579	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.459	0	0	23.318	18.855	18.855	22.529	18.855	18.855	18.855	20.101	0	0	21.523	19.502	19.502	20.869	19.504	19.504	19.508	10.082	0	0	10.08	10.082	10.082	10.082	10.082	10.082	10.082
2113	10	384.147	0	0	7.522	7.522	7.522	7.522	7.522	334.58	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.331	0	0	23.038	18.83	18.83	22.271	18.83	18.83	18.83	20.023	0	0	21.342	19.466	19.466	20.736	19.468	19.468	19.472	10.079	0	0	10.074	10.078	10.078	10.079	10.078	10.078	10.078
2114	10	384.149	0	0	7.522	7.522	7.522	7.522	7.522	334.581	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.22	0	0	22.789	18.803	18.803	22.051	18.803	18.803	18.803	20.269	3219.177	0	27.299	19.46	19.46	21.473	19.462	19.462	19.466	10.073	0	0	10.063	10.071	10.071	10.072	10.071	10.071	10.071
2115	10	384.15	0	0	7.522	7.522	7.522	7.522	7.522	334.583	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.117	0	0	22.558	18.773	18.773	21.854	18.773	18.773	18.773	21.31	0	0	25.014	19.62	19.62	23.485	19.623	19.623	19.629	10.063	0	0	10.05	10.061	10.061	10.061	10.061	10.061	10.061
2116	10	384.152	0	0	7.522	7.522	7.522	7.522	7.522	334.584	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.018	0	0	22.341	18.741	18.741	21.67	18.741	18.741	18.741	20.992	0	0	23.702	19.651	19.651	22.694	19.655	19.655	19.66	10.05	0	0	10.034	10.047	10.047	10.047	10.047	10.047	10.047
2117	10	384.153	0	0	7.522	7.522	7.522	7.522	7.522	334.585	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.988	2467.015	0	29.098	18.772	18.772	24.003	18.772	18.772	18.772	20.7	0	0	23.015	19.621	19.621	22.073	19.624	19.624	19.629	10.034	0	0	10.016	10.031	10.031	10.031	10.031	10.031	10.031
2118	10	384.155	0	0	7.522	7.522	7.522	7.522	7.522	334.586	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.241	0	0	25.149	18.827	18.827	24.344	18.827	18.827	18.827	20.496	0	0	22.558	19.575	19.575	21.671	19.578	19.578	19.583	10.016	0	0	9.996	10.012	10.012	10.013	10.012	10.012	10.012
2119	10	384.156	0	0	7.522	7.522	7.522	7.522	7.522	334.587	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.907	0	0	24.37	18.818	18.818	23.592	18.818	18.818	18.818	20.342	0	0	22.217	19.526	19.526	21.385	19.529	19.529	19.534	9.997	0	0	9.976	9.993	9.993	9.993	9.993	9.993	9.993
2120	10	384.157	0	0	7.522	7.522	7.522	7.522	7.522	334.589	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.65	0	0	23.851	18.789	18.789	23.047	18.789	18.789	18.789	20.216	0	0	21.939	19.476	19.476	21.163	19.479	19.479	19.483	9.976	0	0	9.954	9.972	9.972	9.973	9.972	9.972	9.972
2121	10	384.158	0	0	7.522	7.522	7.522	7.522	7.522	334.59	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.456	0	0	23.458	18.752	18.752	22.653	18.752	18.752	18.752	20.105	0	0	21.698	19.426	19.426	20.975	19.428	19.428	19.433	9.955	0	0	9.931	9.95	9.95	9.951	9.95	9.95	9.95
2122	10	384.16	0	0	7.522	7.522	7.522	7.522	7.522	334.591	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.301	0	0	23.138	18.714	18.714	22.349	18.714	18.714	18.714	20.004	0	0	21.481	19.375	19.375	20.808	19.378	19.378	19.382	9.932	0	0	9.909	9.928	9.928	9.928	9.928	9.928	9.928
2123	10	384.161	0	0	7.522	7.522	7.522	7.522	7.522	334.592	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.169	0	0	22.863	18.676	18.676	22.098	18.676	18.676	18.676	20.956	2638.872	0	28.687	19.456	19.456	23.031	19.459	19.459	19.464	9.91	0	0	9.889	9.906	9.906	9.907	9.906	9.906	9.906
2124	10	384.162	0	0	7.522	7.522	7.522	7.522	7.522	334.593	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.054	0	0	22.617	18.641	18.641	21.88	18.641	18.641	18.641	21.145	0	0	24.339	19.56	19.56	23.16	19.564	19.564	19.57	9.891	0	0	9.874	9.887	9.887	9.888	9.887	9.887	9.887
2125	10	384.163	0	0	7.522	7.522	7.522	7.522	7.522	334.594	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.263	2934.218	0	27.98	18.623	18.623	22.544	18.623	18.623	18.623	20.802	0	0	23.443	19.55	19.55	22.396	19.554	19.554	19.56	9.875	0	0	9.863	9.872	9.872	9.873	9.872	9.872	9.872
2126	10	384.164	0	0	7.522	7.522	7.522	7.522	7.522	334.595	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.316	0	0	25.946	18.703	18.703	24.705	18.703	18.703	18.703	20.564	0	0	22.893	19.517	19.517	21.901	19.52	19.52	19.526	9.865	0	0	9.858	9.863	9.863	9.863	9.863	9.863	9.863
2127	10	384.166	0	0	7.522	7.522	7.522	7.522	7.522	334.596	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.042	0	0	24.836	18.731	18.731	24.012	18.731	18.731	18.731	20.4	0	0	22.511	19.483	19.483	21.573	19.486	19.486	19.491	9.859	0	0	9.857	9.858	9.858	9.859	9.858	9.858	9.858
2128	10	384.167	0	0	7.522	7.522	7.522	7.522	7.522	334.597	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.76	0	0	24.232	18.728	18.728	23.378	18.728	18.728	18.728	20.278	0	0	22.217	19.453	19.453	21.335	19.456	19.456	19.461	9.858	0	0	9.86	9.858	9.858	9.858	9.858	9.858	9.858
2129	10	384.168	0	0	7.521	7.521	7.521	7.521	7.521	334.598	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.559	0	0	23.804	18.717	18.717	22.936	18.717	18.717	18.717	20.18	0	0	21.973	19.426	19.426	21.148	19.428	19.428	19.433	9.86	0	0	9.863	9.86	9.86	9.86	9.86	9.86	9.86
2130	10	384.169	0	0	7.521	7.521	7.521	7.521	7.521	334.599	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.41	0	0	23.47	18.705	18.705	22.612	18.705	18.705	18.705	20.097	0	0	21.76	19.401	19.401	20.99	19.403	19.403	19.408	9.863	0	0	9.868	9.864	9.864	9.864	9.864	9.864	9.864
2131	10	384.17	0	0	7.521	7.521	7.521	7.521	7.521	334.599	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.29	0	0	23.192	18.692	18.692	22.357	18.692	18.692	18.692	20.022	0	0	21.568	19.377	19.377	20.85	19.38	19.38	19.384	9.868	0	0	9.873	9.869	9.869	9.869	9.869	9.869	9.869
2132	10	384.171	0	0	7.521	7.521	7.521	7.521	7.521	334.6	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.189	0	0	22.947	18.68	18.68	22.142	18.68	18.68	18.68	20.271	3167.96	0	27.421	19.385	19.385	21.572	19.387	19.387	19.392	9.873	0	0	9.879	9.874	9.874	9.874	9.874	9.874	9.874
2133	10	384.172	0	0	7.521	7.521	7.521	7.521	7.521	334.601	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.099	0	0	22.723	18.667	18.667	21.952	18.667	18.667	18.667	21.304	0	0	25.169	19.559	19.559	23.553	19.562	19.562	19.568	9.879	0	0	9.885	9.88	9.88	9.88	9.88	9.88	9.88
2134	10	384.173	0	0	7.521	7.521	7.521	7.521	7.521	334.602	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.015	0	0	22.513	18.653	18.653	21.777	18.653	18.653	18.653	21.003	0	0	23.876	19.607	19.607	22.778	19.611	19.611	19.617	9.884	0	0	9.889	9.885	9.885	9.885	9.885	9.885	9.885
2135	10	384.174	0	0	7.521	7.521	7.521	7.521	7.521	334.603	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.985	2431.916	0	29.182	18.703	18.703	24.086	18.703	18.703	18.703	20.729	0	0	23.201	19.596	19.596	22.174	19.599	19.599	19.605	9.888	0	0	9.889	9.888	9.888	9.888	9.888	9.888	9.888
2136	10	384.174	0	0	7.521	7.521	7.521	7.521	7.521	334.604	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.25	0	0	25.296	18.777	18.777	24.431	18.777	18.777	18.777	20.542	0	0	22.754	19.57	19.57	21.786	19.574	19.574	19.579	9.889	0	0	9.887	9.888	9.888	9.888	9.888	9.888	9.888
2137	10	384.175	0	0	7.521	7.521	7.521	7.521	7.521	334.604	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.937	0	0	24.537	18.789	18.789	23.701	18.789	18.789	18.789	20.407	0	0	22.425	19.543	19.543	21.515	19.546	19.546	19.551	9.887	0	0	9.884	9.887	9.887	9.887	9.887	9.887	9.887
2138	10	384.176	0	0	7.521	7.521	7.521	7.521	7.521	334.605	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.701	0	0	24.037	18.782	18.782	23.176	18.782	18.782	18.782	20.301	0	0	22.159	19.515	19.515	21.307	19.518	19.518	19.523	9.884	0	0	9.879	9.883	9.883	9.883	9.883	9.883	9.883
2139	10	384.177	0	0	7.521	7.521	7.521	7.521	7.521	334.606	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.529	0	0	23.662	18.769	18.769	22.802	18.769	18.769	18.769	20.211	0	0	21.931	19.489	19.489	21.136	19.491	19.491	19.496	9.879	0	0	9.874	9.878	9.878	9.879	9.878	9.878	9.878
2140	10	384.178	0	0	7.521	7.521	7.521	7.521	7.521	334.606	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.396	0	0	23.359	18.755	18.755	22.517	18.755	18.755	18.755	20.131	0	0	21.728	19.463	19.463	20.987	19.465	19.465	19.47	9.874	0	0	9.868	9.873	9.873	9.873	9.873	9.873	9.873
2141	10	384.179	0	0	7.521	7.521	7.521	7.521	7.521	334.607	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.285	0	0	23.098	18.741	18.741	22.283	18.741	18.741	18.741	20.057	0	0	21.542	19.437	19.437	20.852	19.44	19.44	19.444	9.868	0	0	9.861	9.867	9.867	9.867	9.867	9.867	9.867
2142	10	384.179	0	0	7.521	7.521	7.521	7.521	7.521	334.608	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.188	0	0	22.862	18.725	18.725	22.08	18.725	18.725	18.725	19.988	0	0	21.367	19.411	19.411	20.727	19.414	19.414	19.418	9.861	0	0	9.854	9.86	9.86	9.86	9.86	9.86	9.86
2143	10	384.18	0	0	7.521	7.521	7.521	7.521	7.521	334.609	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.098	0	0	22.643	18.708	18.708	21.896	18.708	18.708	18.708	20.974	2653.347	0	28.652	19.514	19.514	23	19.517	19.517	19.522	9.854	0	0	9.846	9.852	9.852	9.853	9.852	9.852	9.852
2144	10	384.181	0	0	7.521	7.521	7.521	7.521	7.521	334.609	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.012	0	0	22.435	18.69	18.69	21.723	18.69	18.69	18.69	21.184	0	0	24.304	19.635	19.635	23.155	19.639	19.639	19.645	9.846	0	0	9.837	9.844	9.844	9.844	9.844	9.844	9.844
2145	10	384.182	0	0	7.521	7.521	7.521	7.521	7.521	334.61	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	20.985	2446.942	0	29.146	18.734	18.734	24.047	18.734	18.734	18.734	20.855	0	0	23.42	19.637	19.637	22.405	19.64	19.64	19.646	9.837	0	0	9.827	9.835	9.835	9.835	9.835	9.835	9.835
2146	10	384.182	0	0	7.521	7.521	7.521	7.521	7.521	334.61	24.953	719.494	0	34.139	20.621	20.621	30.585	20.621	20.621	20.621	26.999	793.049	0	34.051	24.644	24.644	30.05	24.651	24.651	24.664	21.248	0	0	25.235	18.802	18.802	24.394	18.802	18.802	18.802	20.624	0	0	22.877	19.609	19.609	21.92	19.612	19.612	19.618	9.827	0	0	9.815	9.825	9.825	9.825	9.825	9.825	9.825
