Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4850	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4851	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4852	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4853	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4854	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4855	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4856	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4857	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4858	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4859	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4860	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4861	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4862	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4863	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4864	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4865	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4866	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4867	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4868	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4869	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
