Zeit [h]	Variante 7.1 Raumlufttemperatur [C]	Variante 7.1 Trans.Strahlung Fenster [W/m2]	Variante 7.1 Wärmeleitung Fenster [W/m2]	Variante 7.2 Raumlufttemperatur [C]	Variante 7.2 Trans.Strahlung Fenster [W/m2]	Variante 7.2 Wärmeleitung Fenster [W/m2]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
76	0	0	0	0	0	0	19.782	0	2.273677249	21.6	0	-1.919603175	21.705	0	-1.259603175	21.067	0	-6.180952381
77	0	0	0	0	0	0	19.781	0	2.272519841	21.593	0	-1.909920635	21.698	0	-1.254126984	21.058	0	-6.164880952
78	0	0	0	0	0	0	19.779	0	2.27146164	21.587	0	-1.900297619	21.691	0	-1.248690476	21.048	0	-6.148809524
79	0	0	0	0	0	0	19.778	0	2.270337302	21.58	0	-1.890714286	21.684	0	-1.243293651	21.039	0	-6.132936508
80	0	0	0	0	0	0	19.777	0	2.269212963	21.573	0	-1.881210317	21.678	0	-1.237896825	21.03	0	-6.117261905
81	0	0	0	0	0	0	19.775	0	2.268154762	21.566	0	-1.871746032	21.671	0	-1.232539683	21.021	0	-6.101587302
82	0	0	0	0	0	0	19.774	0	2.267030423	21.559	0	-1.86234127	21.664	0	-1.227222222	21.011	0	-6.085912698
83	0	0	0	0	0	0	19.773	0	2.265972222	21.552	0	-1.85297619	21.658	0	-1.221904762	21.002	0	-6.070436508
84	0	0	0	0	0	0	19.771	0	2.264847884	21.546	0	-1.843690476	21.651	0	-1.216626984	20.993	0	-6.054960317
85	0	0	0	0	0	0	19.77	0	2.263789683	21.539	0	-1.834444444	21.644	0	-1.211369048	20.984	0	-6.03968254
86	0	0	0	0	0	0	19.769	0	2.262698413	21.532	0	-1.825238095	21.638	0	-1.206130952	20.975	0	-6.024404762
87	0	0	0	0	0	0	19.767	0	2.261607143	21.525	0	-1.816111111	21.631	0	-1.20093254	20.966	0	-6.009126984
88	0	0	0	0	0	0	19.766	0	2.260615079	21.519	0	-1.80702381	21.625	0	-1.195753968	20.957	0	-5.994047619
89	0	0	0	0	0	0	19.765	0	2.259457672	21.512	0	-1.797996032	21.618	0	-1.190595238	20.948	0	-5.978968254
90	0	0	0	0	0	0	19.763	0	2.25843254	21.506	0	-1.789007937	21.612	0	-1.185456349	20.939	0	-5.964087302
91	0	0	0	0	0	0	19.762	0	2.257440476	21.499	0	-1.780079365	21.605	0	-1.180357143	20.931	0	-5.949206349
92	0	0	0	0	0	0	19.761	0	2.256283069	21.493	0	-1.771190476	21.599	0	-1.175277778	20.922	0	-5.934325397
93	0	0	0	0	0	0	19.76	0	2.255257937	21.486	0	-1.762380952	21.592	0	-1.170218254	20.913	0	-5.919642857
94	0	0	0	0	0	0	19.758	0	2.254265873	21.48	0	-1.75359127	21.586	0	-1.165178571	20.904	0	-5.904960317
95	0	0	0	0	0	0	19.757	0	2.253240741	21.473	0	-1.744861111	21.58	0	-1.16015873	20.896	0	-5.89047619
96	0	0	0	0	0	0	19.756	0	2.252083333	21.467	0	-1.736190476	21.573	0	-1.155178571	20.887	0	-5.875992063
97	0	0	0	0	0	0	19.754	0	2.25109127	21.461	0	-1.7275	21.567	0	-1.150178571	20.879	0	-5.861507937
98	0	0	0	0	0	0	19.753	0	2.250099206	21.454	0	-1.718928571	21.561	0	-1.145238095	20.87	0	-5.84702381
99	0	0	0	0	0	0	19.752	0	2.249107143	21.448	0	-1.710396825	21.555	0	-1.14031746	20.862	0	-5.832936508
100	0	0	0	0	0	0	19.751	0	2.248115079	21.442	0	-1.701924603	21.548	0	-1.135436508	20.853	0	-5.818650794
101	0	0	0	0	0	0	19.749	0	2.247123016	21.436	0	-1.693492063	21.542	0	-1.130555556	20.845	0	-5.804563492
102	0	0	0	0	0	0	19.748	0	2.245998677	21.429	0	-1.685099206	21.536	0	-1.125714286	20.836	0	-5.79047619
103	0	0	0	0	0	0	19.747	0	2.244940476	21.423	0	-1.676765873	21.53	0	-1.120892857	20.828	0	-5.776587302
104	0	0	0	0	0	0	19.746	0	2.243948413	21.417	0	-1.668472222	21.524	0	-1.11609127	20.82	0	-5.762698413
105	0	0	0	0	0	0	19.745	0	2.242956349	21.411	0	-1.660238095	21.518	0	-1.111309524	20.812	0	-5.748809524
106	0	0	0	0	0	0	19.743	0	2.241964286	21.405	0	-1.652043651	21.512	0	-1.106547619	20.803	0	-5.735119048
107	0	0	0	0	0	0	19.742	0	2.240972222	21.399	0	-1.643888889	21.506	0	-1.101805556	20.795	0	-5.721428571
108	0	0	0	0	0	0	19.741	0	2.239980159	21.393	0	-1.635793651	21.5	0	-1.097103175	20.787	0	-5.707936508
109	0	0	0	0	0	0	19.74	0	2.238988095	21.387	0	-1.627738095	21.494	0	-1.092400794	20.779	0	-5.694444444
110	0	0	0	0	0	0	19.738	0	2.237996032	21.381	0	-1.619742063	21.488	0	-1.087738095	20.771	0	-5.680952381
111	0	0	0	0	0	0	19.737	0	2.237136243	21.375	0	-1.611765873	21.482	0	-1.083095238	20.763	0	-5.667460317
112	0	0	0	0	0	0	19.736	0	2.236210317	21.369	0	-1.603869048	21.476	0	-1.078472222	20.755	0	-5.654166667
113	0	0	0	0	0	0	19.735	0	2.235218254	21.363	0	-1.595992063	21.47	0	-1.073869048	20.747	0	-5.640873016
114	0	0	0	0	0	0	19.734	0	2.23422619	21.358	0	-1.588174603	21.464	0	-1.069285714	20.739	0	-5.627777778
115	0	0	0	0	0	0	19.733	0	2.233234127	21.352	0	-1.580396825	21.458	0	-1.064722222	20.732	0	-5.61468254
116	0	0	0	0	0	0	19.731	0	2.232242063	21.346	0	-1.57265873	21.453	0	-1.060178571	20.724	0	-5.601587302
117	0	0	0	0	0	0	19.73	0	2.231316138	21.34	0	-1.564980159	21.447	0	-1.055674603	20.716	0	-5.588690476
118	0	0	0	0	0	0	19.729	0	2.230456349	21.334	0	-1.55734127	21.441	0	-1.051170635	20.708	0	-5.575793651
119	0	0	0	0	0	0	19.728	0	2.229464286	21.329	0	-1.549722222	21.435	0	-1.046686508	20.701	0	-5.562896825
120	0	0	0	0	0	0	19.727	0	2.228472222	21.323	0	-1.54218254	21.43	0	-1.042242063	20.693	0	-5.550198413
121	0	0	0	0	0	0	19.726	0	2.227579365	21.317	0	-1.534742063	21.424	0	-1.037837302	20.685	0	-5.5375
122	0	0	0	0	0	0	19.724	0	2.226686508	21.312	0	-1.527261905	21.418	0	-1.03343254	20.678	0	-5.524801587
123	0	0	0	0	0	0	19.723	0	2.225694444	21.306	0	-1.51984127	21.413	0	-1.029047619	20.67	0	-5.512301587
124	0	0	0	0	0	0	19.722	0	2.224768519	21.301	0	-1.512440476	21.407	0	-1.024662698	20.663	0	-5.499801587
125	0	0	0	0	0	0	19.721	0	2.22390873	21.295	0	-1.505099206	21.402	0	-1.02031746	20.655	0	-5.487301587
126	0	0	0	0	0	0	19.72	0	2.222916667	21.29	0	-1.497797619	21.396	0	-1.015972222	20.648	0	-5.475
127	0	0	0	0	0	0	19.719	0	2.22202381	21.284	0	-1.490535714	21.391	0	-1.011666667	20.64	0	-5.462698413
128	0	0	0	0	0	0	19.718	0	2.221130952	21.279	0	-1.483313492	21.385	0	-1.007380952	20.633	0	-5.450396825
129	0	0	0	0	0	0	19.717	0	2.220171958	21.273	0	-1.476130952	21.38	0	-1.003095238	20.626	0	-5.438095238
130	0	0	0	0	0	0	19.716	0	2.219345238	21.268	0	-1.469007937	21.374	0	-0.998849206	20.618	0	-5.425992063
131	0	0	0	0	0	0	19.714	0	2.218353175	21.262	0	-1.461904762	21.369	0	-0.994623016	20.611	0	-5.413888889
132	0	0	0	0	0	0	19.713	0	2.217526455	21.257	0	-1.45484127	21.363	0	-0.990396825	20.604	0	-5.401984127
133	0	0	0	0	0	0	19.712	0	2.21656746	21.252	0	-1.44781746	21.358	0	-0.986210317	20.597	0	-5.389880952
134	0	0	0	0	0	0	19.711	0	2.215740741	21.246	0	-1.440833333	21.352	0	-0.982043651	20.59	0	-5.37797619
135	0	0	0	0	0	0	19.71	0	2.214814815	21.241	0	-1.433888889	21.347	0	-0.977876984	20.582	0	-5.366269841
136	0	0	0	0	0	0	19.709	0	2.213988095	21.236	0	-1.426984127	21.342	0	-0.97375	20.575	0	-5.354365079
137	0	0	0	0	0	0	19.708	0	2.213062169	21.231	0	-1.420119048	21.336	0	-0.969623016	20.568	0	-5.34265873
138	0	0	0	0	0	0	19.707	0	2.212202381	21.225	0	-1.413293651	21.331	0	-0.965535714	20.561	0	-5.331150794
139	0	0	0	0	0	0	19.706	0	2.211342593	21.22	0	-1.406507937	21.326	0	-0.961448413	20.554	0	-5.319444444
140	0	0	0	0	0	0	19.705	0	2.210449735	21.215	0	-1.399742063	21.321	0	-0.957380952	20.547	0	-5.307936508
141	0	0	0	0	0	0	19.704	0	2.209623016	21.21	0	-1.393035714	21.315	0	-0.953353175	20.54	0	-5.296428571
142	0	0	0	0	0	0	19.703	0	2.208730159	21.205	0	-1.386349206	21.31	0	-0.949325397	20.534	0	-5.285119048
143	0	0	0	0	0	0	19.702	0	2.207837302	21.2	0	-1.379702381	21.305	0	-0.94531746	20.527	0	-5.273611111
