Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.7 Sonnenlichtfaktor [---]	Variante 9.7 GlobalStrahlungSuedWand [W/m2]
3752	98.0291	34.95	0	0
3753	111.869	43.79	0	0
3754	128.867	51.69	0	0
3755	150.636	57.62	0	0
3756	177.168	60.19	0	0
3757	204.29	58.47	0	0
3758	227.151	53.11	0	0
3759	245.007	45.51	0	0
3760	259.366	36.81	0	0
3761	271.724	27.71	0	0
3762	283.126	18.65	0	0
3763	294.284	9.99	0	0
3764	305.708	2.08	0	0
3765	317.758	-4.74	0	0
3766	330.632	-10.09	0	0
3767	344.312	-13.6	0	0
3768	358.523	-14.96	0	0
3769	12.7856	-14.05	0	0
3770	26.6027	-10.96	0	0
3771	39.6472	-5.96	0	0
3772	51.8495	0.6	0	0
3773	63.3698	8.32	0	0
3774	74.5379	16.86	0	0
3775	85.8297	25.87	0	0
3776	97.9073	35	0	0
3777	111.735	43.84	0	0
3778	128.723	51.75	0	0
3779	150.5	57.71	0	0
3780	177.079	60.29	0	0
3781	204.27	58.58	0	0
3782	227.176	53.22	0	0
3783	245.049	45.62	0	0
3784	259.411	36.92	0	0
3785	271.767	27.81	0	0
3786	283.163	18.75	0	0
3787	294.314	10.1	0	0
3788	305.729	2.19	0	0
3789	317.766	-4.63	0	0
3790	330.626	-9.98	0	0
3791	344.29	-13.49	0	0
3792	358.482	-14.86	0	0
3793	12.7285	-13.96	0	0
3794	26.5323	-10.88	0	0
3795	39.567	-5.88	0	0
3796	51.7622	0.66	0	0
3797	63.2764	8.38	0	0
3798	74.4382	16.91	0	0
3799	85.7222	25.91	0	0
3800	97.7897	35.05	0	0
3801	111.605	43.9	0	0
3802	128.583	51.82	0	0
3803	150.367	57.79	0	0
3804	176.988	60.39	0	0
3805	204.244	58.69	0	0
3806	227.195	53.33	0	0
3807	245.085	45.72	0	0
3808	259.451	37.02	0	0
3809	271.803	27.91	0	0
3810	283.195	18.85	0	0
3811	294.339	10.2	0	0
3812	305.745	2.29	0	0
3813	317.771	-4.53	0	0
3814	330.617	-9.88	0	0
3815	344.265	-13.39	0	0
3816	358.44	-14.76	0	0
3817	12.6714	-13.87	0	0
3818	26.463	-10.8	0	0
3819	39.4888	-5.82	0	0
3820	51.6775	0.72	0	0
3821	63.1862	8.43	0	0
3822	74.3422	16.95	0	0
3823	85.6188	25.96	0	0
3824	97.6765	35.09	0	0
3825	111.48	43.94	0	0
3826	128.447	51.87	0	0
3827	150.235	57.86	0	0
3828	176.896	60.48	0	0
3829	204.213	58.79	0	0
3830	227.206	53.43	0	0
3831	245.114	45.82	0	0
3832	259.484	37.12	0	0
3833	271.834	28.01	0	0
3834	283.221	18.95	0	0
3835	294.359	10.3	0	0
3836	305.757	2.39	0	0
3837	317.772	-4.43	0	0
3838	330.605	-9.78	0	0
3839	344.238	-13.29	0	0
3840	358.397	-14.67	0	0
3841	12.6145	-13.79	0	0
3842	26.3949	-10.73	0	0
3843	39.4127	-5.75	0	0
3844	51.5955	0.77	0	0
3845	63.0993	8.48	0	0
3846	74.2499	16.99	0	0
3847	85.5195	25.99	0	0
3848	97.5679	35.13	0	0
3849	111.36	43.98	0	0
3850	128.316	51.92	0	0
3851	150.105	57.93	0	0
3852	176.801	60.56	0	0
3853	204.176	58.88	0	0
3854	227.211	53.52	0	0
3855	245.137	45.92	0	0
3856	259.51	37.21	0	0
3857	271.86	28.1	0	0
3858	283.243	19.04	0	0
3859	294.375	10.39	0	0
3860	305.764	2.48	0	0
3861	317.77	-4.34	0	0
3862	330.59	-9.69	0	0
3863	344.208	-13.21	0	0
3864	358.354	-14.59	0	0
3865	12.5578	-13.72	0	0
3866	26.328	-10.67	0	0
3867	39.3386	-5.7	0	0
3868	51.5164	0.82	0	0
3869	63.0157	8.51	0	0
3870	74.1614	17.03	0	0
3871	85.4245	26.02	0	0
3872	97.4638	35.16	0	0
3873	111.244	44.02	0	0
3874	128.188	51.97	0	0
3875	149.978	57.99	0	0
3876	176.705	60.64	0	0
3877	204.134	58.97	0	0
3878	227.209	53.61	0	0
3879	245.152	46	0	0
3880	259.531	37.29	0	0
3881	271.88	28.18	0	0
3882	283.259	19.13	0	0
3883	294.385	10.48	0	0
3884	305.767	2.57	0	0
3885	317.764	-4.25	0	0
3886	330.572	-9.6	0	0
3887	344.177	-13.12	0	0
3888	358.309	-14.52	0	0
3889	12.5013	-13.65	0	0
3890	26.2625	-10.61	0	0
3891	39.2668	-5.65	0	0
3892	51.4401	0.86	0	0
3893	62.9356	8.55	0	0
3894	74.0768	17.05	0	0
3895	85.3338	26.05	0	0
3896	97.3645	35.18	0	0
3897	111.133	44.05	0	0
3898	128.066	52.01	0	0
3899	149.853	58.04	0	0
3900	176.608	60.7	0	0
3901	204.087	59.05	0	0
3902	227.2	53.69	0	0
3903	245.161	46.09	0	0
3904	259.545	37.38	0	0
3905	271.893	28.27	0	0
3906	283.269	19.21	0	0
3907	294.391	10.56	0	0
3908	305.766	2.65	0	0
3909	317.753	-4.17	0	0
3910	330.551	-9.53	0	0
3911	344.144	-13.05	0	0
3912	358.264	-14.45	0	0
3913	12.4451	-13.59	0	0
3914	26.1983	-10.56	0	0
3915	39.1973	-5.61	0	0
3916	51.3668	0.89	0	0
3917	62.8591	8.57	0	0
3918	73.9963	17.07	0	0
3919	85.2476	26.07	0	0
3920	97.27	35.2	0	0
3921	111.027	44.07	0	0
3922	127.948	52.04	0	0
3923	149.731	58.08	0	0
3924	176.509	60.77	0	0
3925	204.035	59.12	0	0
3926	227.185	53.77	0	0
3927	245.163	46.16	0	0
3928	259.553	37.45	0	0
3929	271.902	28.34	0	0
3930	283.275	19.29	0	0
3931	294.392	10.64	0	0
3932	305.761	2.73	0	0
3933	317.74	-4.09	0	0
3934	330.527	-9.45	0	0
3935	344.109	-12.98	0	0
3936	358.217	-14.39	0	0
3937	12.3894	-13.54	0	0
3938	26.1357	-10.51	0	0
3939	39.1301	-5.58	0	0
3940	51.2966	0.92	0	0
3941	62.7861	8.59	0	0
3942	73.9198	17.09	0	0
3943	85.1659	26.08	0	0
3944	97.1804	35.22	0	0
3945	110.927	44.09	0	0
3946	127.834	52.06	0	0
3947	149.612	58.12	0	0
3948	176.41	60.82	0	0
3949	203.978	59.19	0	0
3950	227.163	53.84	0	0
3951	245.159	46.24	0	0
3952	259.555	37.53	0	0
3953	271.904	28.42	0	0
3954	283.275	19.36	0	0
3955	294.388	10.71	0	0
3956	305.751	2.8	0	0
3957	317.722	-4.02	0	0
3958	330.501	-9.39	0	0
3959	344.072	-12.92	0	0
3960	358.171	-14.33	0	0
3961	12.3342	-13.49	0	0
3962	26.0745	-10.48	0	0
3963	39.0653	-5.55	0	0
3964	51.2294	0.94	0	0
3965	62.7167	8.61	0	0
3966	73.8474	17.1	0	0
3967	85.0888	26.09	0	0
3968	97.0959	35.22	0	0
3969	110.832	44.1	0	0
3970	127.726	52.08	0	0
3971	149.496	58.15	0	0
3972	176.309	60.87	0	0
3973	203.916	59.25	0	0
3974	227.135	53.91	0	0
3975	245.148	46.31	0	0
3976	259.551	37.6	0	0
3977	271.901	28.48	0	0
3978	283.271	19.43	0	0
3979	294.38	10.78	0	0
3980	305.737	2.87	0	0
3981	317.702	-3.96	0	0
3982	330.471	-9.33	0	0
3983	344.033	-12.86	0	0
3984	358.123	-14.28	0	0
3985	12.2795	-13.45	0	0
3986	26.015	-10.45	0	0
3987	39.003	-5.53	0	0
3988	51.1654	0.95	0	0
3989	62.6512	8.62	0	0
3990	73.7793	17.11	0	0
3991	85.0164	26.09	0	0
3992	97.0165	35.23	0	0
3993	110.742	44.1	0	0
3994	127.623	52.09	0	0
3995	149.384	58.18	0	0
3996	176.208	60.91	0	0
3997	203.85	59.3	0	0
3998	227.1	53.97	0	0
3999	245.13	46.37	0	0
4000	259.54	37.66	0	0
4001	271.893	28.55	0	0
4002	283.261	19.49	0	0
4003	294.367	10.84	0	0
4004	305.72	2.93	0	0
4005	317.678	-3.9	0	0
4006	330.44	-9.27	0	0
4007	343.993	-12.82	0	0
4008	358.075	-14.24	0	0
4009	12.2254	-13.42	0	0
4010	25.9572	-10.42	0	0
4011	38.9432	-5.51	0	0
4012	51.1047	0.96	0	0
4013	62.5894	8.62	0	0
4014	73.7156	17.1	0	0
4015	84.9487	26.09	0	0
4016	96.9424	35.22	0	0
4017	110.657	44.1	0	0
4018	127.525	52.1	0	0
4019	149.275	58.2	0	0
4020	176.107	60.95	0	0
4021	203.779	59.35	0	0
4022	227.059	54.02	0	0
4023	245.106	46.43	0	0
4024	259.524	37.72	0	0
4025	271.879	28.6	0	0
4026	283.246	19.55	0	0
4027	294.349	10.9	0	0
4028	305.698	2.98	0	0
4029	317.65	-3.85	0	0
4030	330.405	-9.22	0	0
4031	343.951	-12.77	0	0
4032	358.026	-14.21	0	0
4033	12.1721	-13.39	0	0
4034	25.9011	-10.41	0	0
4035	38.8861	-5.5	0	0
4036	51.0473	0.96	0	0
4037	62.5315	8.62	0	0
4038	73.6561	17.1	0	0
4039	84.886	26.08	0	0
4040	96.8736	35.22	0	0
4041	110.579	44.1	0	0
4042	127.433	52.1	0	0
4043	149.171	58.21	0	0
4044	176.006	60.97	0	0
4045	203.704	59.39	0	0
4046	227.012	54.07	0	0
4047	245.076	46.48	0	0
4048	259.501	37.77	0	0
4049	271.859	28.66	0	0
4050	283.226	19.6	0	0
4051	294.327	10.95	0	0
4052	305.672	3.03	0	0
4053	317.619	-3.81	0	0
4054	330.368	-9.18	0	0
4055	343.908	-12.74	0	0
4056	357.978	-14.18	0	0
4057	12.1195	-13.37	0	0
4058	25.8468	-10.39	0	0
4059	38.8317	-5.5	0	0
4060	50.9933	0.96	0	0
4061	62.4775	8.61	0	0
4062	73.6012	17.09	0	0
4063	84.8281	26.06	0	0
4064	96.8102	35.2	0	0
4065	110.506	44.08	0	0
4066	127.347	52.09	0	0
4067	149.07	58.21	0	0
4068	175.904	60.99	0	0
4069	203.624	59.43	0	0
4070	226.958	54.11	0	0
4071	245.039	46.52	0	0
4072	259.473	37.82	0	0
4073	271.834	28.71	0	0
4074	283.202	19.65	0	0
4075	294.301	10.99	0	0
4076	305.642	3.07	0	0
4077	317.585	-3.77	0	0
4078	330.328	-9.15	0	0
4079	343.863	-12.71	0	0
4080	357.928	-14.16	0	0
4081	12.0677	-13.36	0	0
4082	25.7945	-10.39	0	0
4083	38.78	-5.5	0	0
4084	50.9427	0.95	0	0
4085	62.4276	8.59	0	0
4086	73.5507	17.07	0	0
4087	84.7753	26.05	0	0
4088	96.7523	35.18	0	0
4089	110.439	44.07	0	0
4090	127.266	52.08	0	0
4091	148.974	58.21	0	0
4092	175.803	61.01	0	0
4093	203.541	59.45	0	0
4094	226.899	54.15	0	0
4095	244.996	46.56	0	0
4096	259.439	37.86	0	0
4097	271.804	28.75	0	0
4098	283.173	19.69	0	0
4099	294.271	11.03	0	0
4100	305.609	3.11	0	0
4101	317.548	-3.73	0	0
4102	330.286	-9.12	0	0
4103	343.817	-12.69	0	0
4104	357.879	-14.15	0	0
4105	12.0169	-13.36	0	0
4106	25.7441	-10.39	0	0
4107	38.7312	-5.51	0	0
4108	50.8957	0.94	0	0
4109	62.3818	8.57	0	0
4110	73.5049	17.05	0	0
4111	84.7276	26.02	0	0
4112	96.7	35.16	0	0
4113	110.379	44.04	0	0
4114	127.192	52.06	0	0
4115	148.882	58.2	0	0
4116	175.703	61.01	0	0
4117	203.454	59.48	0	0
4118	226.833	54.18	0	0
4119	244.947	46.6	0	0
4120	259.399	37.9	0	0
4121	271.768	28.79	0	0
4122	283.138	19.72	0	0
4123	294.236	11.07	0	0
4124	305.572	3.14	0	0
4125	317.507	-3.71	0	0
4126	330.242	-9.1	0	0
4127	343.769	-12.68	0	0
4128	357.829	-14.14	0	0
4129	11.9671	-13.36	0	0
4130	25.6958	-10.4	0	0
4131	38.6853	-5.53	0	0
4132	50.8522	0.92	0	0
4133	62.3401	8.55	0	0
4134	73.4637	17.02	0	0
4135	84.685	25.99	0	0
4136	96.6533	35.13	0	0
4137	110.324	44.02	0	0
4138	127.123	52.04	0	0
4139	148.794	58.19	0	0
4140	175.603	61.01	0	0
4141	203.363	59.49	0	0
4142	226.762	54.21	0	0
4143	244.892	46.63	0	0
4144	259.353	37.93	0	0
4145	271.727	28.82	0	0
4146	283.099	19.76	0	0
4147	294.196	11.1	0	0
4148	305.531	3.17	0	0
4149	317.464	-3.68	0	0
4150	330.196	-9.09	0	0
4151	343.72	-12.67	0	0
4152	357.78	-14.14	0	0
4153	11.9183	-13.37	0	0
4154	25.6495	-10.42	0	0
4155	38.6423	-5.55	0	0
4156	50.8124	0.89	0	0
4157	62.3026	8.52	0	0
4158	73.4272	16.98	0	0
4159	84.6476	25.96	0	0
4160	96.6124	35.09	0	0
4161	110.275	43.98	0	0
4162	127.061	52.01	0	0
4163	148.712	58.17	0	0
4164	175.505	61	0	0
4165	203.269	59.5	0	0
4166	226.686	54.22	0	0
4167	244.831	46.65	0	0
4168	259.302	37.96	0	0
4169	271.681	28.84	0	0
4170	283.056	19.78	0	0
4171	294.153	11.12	0	0
4172	305.486	3.19	0	0
4173	317.417	-3.67	0	0
4174	330.147	-9.08	0	0
4175	343.67	-12.67	0	0
4176	357.73	-14.15	0	0
4177	11.8707	-13.38	0	0
4178	25.6055	-10.44	0	0
4179	38.6024	-5.58	0	0
4180	50.7764	0.85	0	0
4181	62.2694	8.48	0	0
4182	73.3955	16.95	0	0
4183	84.6155	25.92	0	0
4184	96.5773	35.05	0	0
4185	110.233	43.94	0	0
4186	127.005	51.98	0	0
4187	148.635	58.14	0	0
4188	175.407	60.99	0	0
4189	203.171	59.5	0	0
4190	226.603	54.24	0	0
4191	244.764	46.67	0	0
4192	259.245	37.98	0	0
4193	271.63	28.87	0	0
4194	283.007	19.8	0	0
4195	294.106	11.14	0	0
4196	305.438	3.2	0	0
4197	317.368	-3.66	0	0
4198	330.097	-9.08	0	0
4199	343.619	-12.67	0	0
4200	357.68	-14.16	0	0
4201	11.8243	-13.4	0	0
4202	25.5637	-10.47	0	0
4203	38.5656	-5.61	0	0
4204	50.7441	0.82	0	0
4205	62.2406	8.44	0	0
4206	73.3686	16.9	0	0
4207	84.5888	25.87	0	0
4208	96.548	35.01	0	0
4209	110.197	43.9	0	0
4210	126.955	51.94	0	0
4211	148.562	58.11	0	0
4212	175.312	60.97	0	0
4213	203.071	59.49	0	0
4214	226.516	54.24	0	0
4215	244.691	46.68	0	0
4216	259.183	37.99	0	0
4217	271.574	28.88	0	0
4218	282.955	19.82	0	0
4219	294.054	11.15	0	0
4220	305.387	3.21	0	0
4221	317.315	-3.66	0	0
4222	330.044	-9.08	0	0
4223	343.567	-12.69	0	0
4224	357.631	-14.18	0	0
4225	11.7792	-13.43	0	0
4226	25.5242	-10.51	0	0
4227	38.532	-5.65	0	0
4228	50.7157	0.77	0	0
4229	62.2161	8.39	0	0
4230	73.3466	16.85	0	0
4231	84.5674	25.82	0	0
4232	96.5247	34.96	0	0
4233	110.168	43.85	0	0
4234	126.912	51.89	0	0
4235	148.495	58.07	0	0
4236	175.217	60.94	0	0
4237	202.967	59.48	0	0
4238	226.423	54.24	0	0
4239	244.612	46.69	0	0
4240	259.115	38	0	0
4241	271.513	28.89	0	0
4242	282.897	19.83	0	0
4243	293.998	11.16	0	0
4244	305.332	3.21	0	0
4245	317.26	-3.66	0	0
4246	329.989	-9.09	0	0
4247	343.514	-12.71	0	0
4248	357.581	-14.21	0	0
4249	11.7354	-13.47	0	0
4250	25.4872	-10.55	0	0
4251	38.5017	-5.7	0	0
4252	50.6912	0.72	0	0
4253	62.1961	8.34	0	0
4254	73.3296	16.8	0	0
4255	84.5515	25.77	0	0
4256	96.5074	34.9	0	0
4257	110.145	43.8	0	0
4258	126.876	51.84	0	0
4259	148.434	58.02	0	0
4260	175.125	60.9	0	0
4261	202.862	59.46	0	0
4262	226.325	54.23	0	0
4263	244.528	46.69	0	0
4264	259.041	38.01	0	0
4265	271.447	28.9	0	0
4266	282.836	19.83	0	0
4267	293.939	11.16	0	0
4268	305.274	3.21	0	0
4269	317.203	-3.67	0	0
4270	329.933	-9.11	0	0
4271	343.46	-12.73	0	0
4272	357.532	-14.25	0	0
4273	11.6931	-13.51	0	0
4274	25.4526	-10.6	0	0
4275	38.4746	-5.75	0	0
4276	50.6706	0.66	0	0
4277	62.1806	8.28	0	0
4278	73.3175	16.74	0	0
4279	84.5411	25.71	0	0
4280	96.4961	34.84	0	0
4281	110.128	43.74	0	0
4282	126.846	51.78	0	0
4283	148.378	57.97	0	0
4284	175.035	60.86	0	0
4285	202.753	59.43	0	0
4286	226.223	54.22	0	0
4287	244.439	46.69	0	0
4288	258.963	38.01	0	0
4289	271.376	28.9	0	0
4290	282.77	19.83	0	0
4291	293.876	11.15	0	0
4292	305.212	3.19	0	0
4293	317.142	-3.69	0	0
4294	329.874	-9.13	0	0
4295	343.406	-12.77	0	0
4296	357.483	-14.29	0	0
4297	11.6523	-13.56	0	0
4298	25.4205	-10.65	0	0
4299	38.4509	-5.81	0	0
4300	50.6541	0.6	0	0
4301	62.1697	8.22	0	0
4302	73.3105	16.68	0	0
4303	84.5362	25.64	0	0
4304	96.4909	34.78	0	0
4305	110.118	43.67	0	0
4306	126.823	51.72	0	0
4307	148.328	57.91	0	0
4308	174.947	60.81	0	0
4309	202.643	59.4	0	0
4310	226.116	54.2	0	0
4311	244.344	46.68	0	0
4312	258.88	38	0	0
4313	271.301	28.89	0	0
4314	282.699	19.82	0	0
4315	293.809	11.14	0	0
4316	305.147	3.18	0	0
4317	317.079	-3.71	0	0
4318	329.814	-9.17	0	0
4319	343.35	-12.81	0	0
4320	357.435	-14.34	0	0
4321	11.613	-13.62	0	0
4322	25.3911	-10.71	0	0
4323	38.4307	-5.88	0	0
4324	50.6416	0.54	0	0
4325	62.1634	8.15	0	0
4326	73.3087	16.61	0	0
4327	84.537	25.57	0	0
4328	96.4918	34.71	0	0
4329	110.115	43.6	0	0
4330	126.807	51.65	0	0
4331	148.283	57.84	0	0
4332	174.861	60.76	0	0
4333	202.53	59.36	0	0
4334	226.004	54.18	0	0
4335	244.244	46.66	0	0
4336	258.791	37.99	0	0
4337	271.221	28.88	0	0
4338	282.625	19.81	0	0
4339	293.738	11.12	0	0
4340	305.079	3.16	0	0
4341	317.014	-3.74	0	0
4342	329.752	-9.2	0	0
4343	343.294	-12.85	0	0
4344	357.387	-14.39	0	0
