Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
02-SolareLasten Isotrop	Direktstrahlung S-E 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	49.19	4.5	0.37	-0.01	4.89	20.76	654.55	0.0	-0.01	0.34	99.97	2.21	105.73	0.15506	136.28	True	99.43	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	61.1	3.82	0.32	-0.13	5.46	16.49	672.53	0.0	-0.22	0.35	99.98	2.34	22.77	0.11734	153.65	True	99.41	Gold
02-SolareLasten Isotrop	Direktstrahlung S 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	63.83	3.6	0.21	0.04	5.29	25.1	720.92	0.0	0.06	0.32	99.98	2.3	36.56	0.06088	164.14	True	99.44	Gold
02-SolareLasten Isotrop	Direktstrahlung S 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	73.39	3.39	0.2	-0.15	6.23	21.0	789.61	0.0	-0.2	0.32	99.98	2.5	13.99	0.05956	175.05	True	99.45	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	66.3	9.18	1.86	-0.49	37.61	157.21	685.11	0.0	-0.73	0.89	99.86	6.13	242.63	0.3052	161.11	True	99.07	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	73.18	5.06	1.23	-0.39	13.86	78.38	737.13	0.0	-0.53	0.5	99.95	3.72	26.93	0.24459	168.33	True	99.33	Gold
02-SolareLasten Isotrop	Direktstrahlung W 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	49.22	20.28	0.05	-0.96	103.51	220.66	932.13	0.0	-1.91	1.09	99.54	10.17	312.2	0.37248	148.0	True	98.86	Gold
02-SolareLasten Isotrop	Direktstrahlung W 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	57.97	9.14	1.77	-0.63	28.68	110.11	566.37	0.0	-1.07	0.94	99.85	5.36	130.0	0.31249	139.39	True	98.98	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	24.73	36.25	0.18	-0.88	86.21	223.72	987.24	0.0	-3.45	0.94	99.27	9.28	-99	0.36313	106.76	True	98.89	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	33.95	13.79	0.6	-0.54	22.62	111.28	559.21	0.0	-1.56	0.85	99.75	4.76	237.29	0.30595	93.81	True	99.04	Gold
02-SolareLasten Isotrop	Diffusstrahlung - 0	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	52.71	2.59	0.0	-0.0	1.86	8.68	411.0	0.0	-0.0	0.33	99.97	1.36	1.68	0.0686	82.05	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	True	99.58	Gold
02-SolareLasten Isotrop	Sun azimuth angle	THERAKLES	THERAKLES	1.8	Deg	TU Dresden, IBK TU Dresden	0	-4.26	117.6	79.04	-184.23	44797.35	420.79	56.88	-61.0	-102.36	58.82	-347.22	211.65	121.78	-99	28.85	False	41.88	Failed
02-SolareLasten Isotrop	Sun elevation angle	THERAKLES	THERAKLES	1.8	Deg	TU Dresden, IBK TU Dresden	0	180.03	-5036.14	377.32	184.23	44804.47	420.99	360.0	0.02	-4383.25	179.63	-5286.98	211.67	454.1	-99	100.11	False	-112.57	Failed
02-SolareLasten Isotrop	Direktstrahlung - 0	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	49.71	3.57	0.52	-0.19	3.17	11.12	517.87	0.0	-0.38	0.34	99.97	1.78	10.2	0.05513	111.73	False	99.44	Gold
02-SolareLasten Isotrop	Direktstrahlung N 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	27.68	31.95	0.08	-1.5	86.9	123.61	464.04	0.0	-5.14	2.01	98.73	9.32	113.74	0.59583	80.82	False	97.99	Gold
02-SolareLasten Isotrop	Direktstrahlung N 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	40.91	8.66	0.55	-0.57	12.89	61.23	297.6	0.0	-1.38	1.21	99.7	3.59	5.08	0.33447	64.72	False	98.55	Gold
02-SolareLasten Isotrop	Direktstrahlung N-E 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	20.76	14.76	0.05	-0.26	9.62	26.83	392.63	0.0	-1.22	0.79	99.75	3.1	236.48	0.34843	60.49	False	99.09	Gold
02-SolareLasten Isotrop	Direktstrahlung N-E 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	20.41	7.93	0.65	-0.12	2.65	20.92	329.63	0.0	-0.59	0.49	99.93	1.63	220.01	0.16877	59.19	False	99.34	Gold
02-SolareLasten Isotrop	Direktstrahlung E 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	25.52	9.86	0.23	-0.06	6.36	31.64	511.52	0.0	-0.25	0.49	99.92	2.52	2414.24	0.22274	86.83	False	99.33	Gold
02-SolareLasten Isotrop	Direktstrahlung E 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	40.54	5.25	0.63	-0.15	4.56	23.32	536.65	0.0	-0.37	0.4	99.96	2.14	46.46	0.16868	108.97	False	99.4	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	49.19	4.5	0.37	-0.01	4.89	20.76	654.55	0.0	-0.01	0.34	99.97	2.21	105.73	0.15506	136.28	False	99.43	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	61.1	3.82	0.32	-0.13	5.46	16.49	672.53	0.0	-0.22	0.35	99.98	2.34	22.77	0.11734	153.65	False	99.41	Gold
02-SolareLasten Isotrop	Direktstrahlung S 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	63.83	3.6	0.21	0.04	5.29	25.1	720.92	0.0	0.06	0.32	99.98	2.3	36.56	0.06088	164.14	False	99.44	Gold
02-SolareLasten Isotrop	Direktstrahlung S 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	73.39	3.39	0.2	-0.15	6.23	21.0	789.61	0.0	-0.2	0.32	99.98	2.5	13.99	0.05956	175.05	False	99.45	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	66.3	9.18	1.86	-0.49	37.61	157.21	685.11	0.0	-0.73	0.89	99.86	6.13	242.63	0.3052	161.11	False	99.07	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	73.18	5.06	1.23	-0.39	13.86	78.38	737.13	0.0	-0.53	0.5	99.95	3.72	26.93	0.24459	168.33	False	99.33	Gold
02-SolareLasten Isotrop	Direktstrahlung W 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	49.22	20.28	0.05	-0.96	103.51	220.66	932.13	0.0	-1.91	1.09	99.54	10.17	312.2	0.37248	148.0	False	98.86	Gold
02-SolareLasten Isotrop	Direktstrahlung W 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	57.97	9.14	1.77	-0.63	28.68	110.11	566.37	0.0	-1.07	0.94	99.85	5.36	130.0	0.31249	139.39	False	98.98	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	24.73	36.25	0.18	-0.88	86.21	223.72	987.24	0.0	-3.45	0.94	99.27	9.28	-99	0.36313	106.76	False	98.89	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	33.95	13.79	0.6	-0.54	22.62	111.28	559.21	0.0	-1.56	0.85	99.75	4.76	237.29	0.30595	93.81	False	99.04	Gold
02-SolareLasten Isotrop	Diffusstrahlung - 0	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	52.71	2.59	0.0	-0.0	1.86	8.68	411.0	0.0	-0.0	0.33	99.97	1.36	1.68	0.0686	82.05	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 90	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	36.6	2.96	0.59	0.04	1.17	4.54	249.18	0.0	0.1	0.43	99.96	1.08	1.57	0.06259	54.03	False	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 30	THERAKLES	THERAKLES	1.8	W/m2	TU Dresden, IBK TU Dresden	0	50.55	2.55	0.04	0.0	1.66	8.12	389.32	0.0	0.01	0.33	99.97	1.29	1.61	0.06767	78.17	False	99.58	Gold
02-SolareLasten Isotrop	Sun azimuth angle	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	132.1	62.75	51.06	-47.88	12755.63	269.88	302.96	57.08	-26.6	31.39	-27.34	112.94	64.99	0.83896	59.86	False	68.88	Failed
02-SolareLasten Isotrop	Sun elevation angle	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	10.4	-547.0	58.76	14.6	528.57	61.0	57.02	0.0	-347.43	19.51	36.45	22.99	49.32	-99	14.92	False	79.63	Failed
02-SolareLasten Isotrop	Direktstrahlung - 0	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	51.44	21.46	20.28	1.54	114.67	102.74	545.48	0.0	3.08	2.06	99.09	10.71	61.37	0.33762	117.23	False	95.47	Gold
02-SolareLasten Isotrop	Direktstrahlung N 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	27.98	82.55	17.91	-1.2	580.07	265.44	546.66	0.0	-4.11	5.19	91.51	24.08	293.87	0.67693	88.45	False	94.81	Silver
02-SolareLasten Isotrop	Direktstrahlung N 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	44.19	34.5	16.1	2.71	204.84	132.73	339.38	0.0	6.53	4.82	95.21	14.31	20.26	0.48225	70.72	False	94.5	Silver
02-SolareLasten Isotrop	Direktstrahlung N-E 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	21.49	83.53	36.63	0.47	308.13	205.29	541.86	0.0	2.24	4.47	91.85	17.55	1418.37	0.42022	69.26	False	94.68	Silver
02-SolareLasten Isotrop	Direktstrahlung N-E 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	21.58	49.18	41.21	1.05	101.92	149.92	455.15	0.0	5.13	3.07	97.15	10.1	1364.63	0.33698	64.57	False	94.76	Silver
02-SolareLasten Isotrop	Direktstrahlung E 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	25.67	56.36	36.13	0.09	207.82	229.48	660.11	0.0	0.36	2.82	97.28	14.42	13982.57	0.35402	91.96	False	95.01	Gold
02-SolareLasten Isotrop	Direktstrahlung E 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	41.81	32.73	33.99	1.12	177.43	162.02	571.37	0.0	2.76	2.48	98.53	13.32	289.7	0.36596	114.96	False	95.13	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	48.97	28.39	30.82	-0.23	195.01	192.46	679.99	0.0	-0.46	2.14	98.96	13.96	667.62	0.38034	139.17	False	95.1	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	62.23	23.86	28.51	1.0	213.51	185.21	684.94	0.0	1.63	2.17	99.11	14.61	142.42	0.37974	159.56	False	95.02	Gold
02-SolareLasten Isotrop	Direktstrahlung S 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	63.1	22.54	23.19	-0.69	206.78	223.95	759.33	0.0	-1.09	2.0	99.24	14.38	228.59	0.37976	166.18	False	94.95	Silver
02-SolareLasten Isotrop	Direktstrahlung S 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	74.5	20.45	21.51	0.96	226.25	193.66	818.24	0.0	1.3	1.9	99.27	15.04	84.35	0.3786	180.69	False	95.39	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	66.11	28.99	14.65	-0.68	374.94	264.72	776.61	0.0	-1.02	2.82	98.57	19.36	766.05	0.4637	164.97	False	96.21	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	74.42	22.45	13.09	0.86	272.85	214.04	757.83	0.0	1.17	2.23	99.05	16.52	119.46	0.43537	174.39	False	95.66	Gold
02-SolareLasten Isotrop	Direktstrahlung W 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	49.49	53.71	23.01	-0.69	726.24	416.72	1044.31	0.0	-1.37	2.89	96.76	26.95	810.59	0.45229	156.06	False	96.23	Gold
02-SolareLasten Isotrop	Direktstrahlung W 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	59.45	30.8	16.12	0.85	325.8	208.37	628.16	0.0	1.44	3.17	98.35	18.05	438.15	0.43992	146.12	False	95.78	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	25.15	92.7	25.59	-0.46	563.65	482.36	1114.88	0.0	-1.8	2.41	95.22	23.74	-99	0.40051	114.68	False	96.26	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	35.32	43.85	25.27	0.83	228.76	241.19	639.46	0.0	2.4	2.71	97.45	15.12	754.61	0.38561	99.76	False	96.32	Gold
02-SolareLasten Isotrop	Diffusstrahlung - 0	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	52.58	11.59	14.93	-0.13	37.3	41.22	451.4	0.0	-0.24	1.49	99.45	6.11	7.53	0.42777	84.22	False	97.85	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 30	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	50.45	11.39	14.77	-0.09	33.12	39.08	427.63	0.0	-0.19	1.48	99.46	5.75	7.21	0.41803	80.2	False	97.86	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 90	TRNSYS	TRNSYS	18	W/m2	Julian Agudelo, Hochschule München	0	36.69	10.13	13.2	0.13	13.72	25.23	273.96	0.0	0.36	1.49	99.53	3.7	5.37	0.34335	55.29	False	97.78	Gold
