Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Kaxgar Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.08	0.2	0.13	0.3	0.12	0.99	295.22	64.75	0.17	0.15	100.0	0.35	0.34	0.0023	59.07	True	99.75	Gold
01-Sonnenstand	Singapur Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	41.86	0.69	0.25	-0.04	0.08	0.48	88.23	-0.24	-0.09	0.33	99.98	0.29	0.71	0.03494	23.55	True	99.52	Gold
01-Sonnenstand	Singapur Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.11	2.29	0.88	0.28	16.99	118.99	359.44	0.2	0.16	1.16	99.76	4.12	2.66	0.06107	84.22	True	98.31	Gold
01-Sonnenstand	Lima Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	42.0	0.18	0.11	0.0	0.01	0.31	89.38	-0.17	0.0	0.08	100.0	0.08	0.19	0.00791	24.07	True	99.82	Gold
01-Sonnenstand	Lima Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.13	1.77	0.47	-0.03	10.15	138.86	359.85	0.3	-0.02	0.89	99.9	3.19	1.77	0.09316	99.94	True	98.61	Gold
01-Sonnenstand	Denver Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	28.35	1.06	1.1	-0.14	0.09	0.71	69.5	-0.16	-0.5	0.43	99.97	0.3	1.21	0.03874	17.07	True	98.9	Gold
01-Sonnenstand	Denver Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.06	0.24	0.12	-0.37	0.18	1.02	295.33	64.53	-0.21	0.18	99.99	0.42	0.41	0.00233	59.01	True	99.67	Gold
01-Sonnenstand	Barrow Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	13.23	1.37	0.96	-0.03	0.03	0.46	37.96	-17.73	-0.22	0.33	99.97	0.18	1.34	0.07235	11.03	True	98.14	Gold
01-Sonnenstand	Barrow Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.11	2.52	0.18	-0.13	20.69	187.4	359.93	0.16	-0.07	1.27	99.67	4.55	4.47	0.01868	79.71	True	97.9	Gold
01-Sonnenstand	Melbourne Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	33.94	0.58	0.34	-0.04	0.04	0.33	75.72	-0.15	-0.12	0.26	99.99	0.2	0.59	0.02797	19.91	True	99.54	Gold
01-Sonnenstand	Melbourne Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.14	4.63	0.55	0.25	69.31	183.47	359.96	0.01	0.14	2.32	99.53	8.33	3.62	0.08216	121.66	True	97.6	Gold
01-Sonnenstand	Potsdam Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	22.36	1.93	1.04	0.36	0.18	0.79	57.4	-0.2	1.63	0.74	99.91	0.43	2.12	0.0446	14.59	True	98.7	Gold
01-Sonnenstand	Potsdam Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	180.01	0.14	0.22	-0.05	0.07	0.58	302.7	57.1	-0.03	0.1	100.0	0.26	0.28	0.00195	57.54	True	99.86	Gold
01-Sonnenstand	Shanghai Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	32.74	1.23	1.01	0.26	0.16	0.85	78.4	-0.3	0.8	0.51	99.96	0.4	1.39	0.03832	18.99	True	99.15	Gold
01-Sonnenstand	Shanghai Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.71	0.3	0.29	-0.29	0.29	2.0	292.6	67.0	-0.16	0.24	99.99	0.54	0.47	0.00411	62.07	True	99.69	Gold
01-Sonnenstand	Kaxgar Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	28.94	2.06	1.96	0.36	0.35	1.15	70.4	-0.7	1.25	0.84	99.88	0.59	2.36	0.06828	17.25	True	98.43	Gold
01-Sonnenstand	Kaxgar Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.14	0.44	0.3	-0.64	0.63	2.22	294.7	64.1	-0.35	0.35	99.98	0.79	0.76	0.00588	59.39	True	99.47	Gold
01-Sonnenstand	Singapur Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	41.96	1.51	1.36	0.07	0.4	1.14	89.0	-1.0	0.16	0.71	99.93	0.63	1.55	0.09461	23.63	True	98.94	Gold
01-Sonnenstand	Singapur Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.22	4.6	0.91	-0.61	68.53	237.95	359.5	0.3	-0.34	2.33	99.03	8.28	5.34	0.16237	85.01	True	96.73	Gold
01-Sonnenstand	Lima Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	41.94	0.46	0.51	-0.06	0.04	0.51	89.8	-0.6	-0.14	0.22	99.99	0.19	0.49	0.02315	24.06	True	99.68	Gold
01-Sonnenstand	Lima Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	180.26	2.5	0.78	0.1	20.27	218.03	359.9	0.2	0.06	1.25	99.8	4.5	2.5	0.06906	100.46	True	98.0	Gold
01-Sonnenstand	Denver Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	28.96	2.21	2.08	0.47	0.4	1.07	70.4	-0.8	1.65	0.9	99.86	0.63	2.52	0.06644	17.24	True	98.18	Gold
