Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90780	-43.95	13.86	-62.85	30.19	-46.66	309.83	-83	215.39	-68.58	152.39	-55.56	21.55	-25.47	349.17	-44.82	170.5
90781	-43.91	14.2	-62.74	30.68	-46.81	310.12	-83.14	213.71	-68.46	151.78	-55.48	21.97	-25.48	349.45	-44.79	170.16
90782	-43.87	14.54	-62.63	31.17	-46.96	310.41	-83.28	211.95	-68.35	151.19	-55.41	22.38	-25.5	349.72	-44.75	169.81
90783	-43.83	14.88	-62.52	31.65	-47.1	310.71	-83.41	210.12	-68.23	150.6	-55.34	22.8	-25.51	350	-44.72	169.47
90784	-43.79	15.22	-62.4	32.12	-47.25	311	-83.53	208.22	-68.11	150.02	-55.26	23.22	-25.53	350.27	-44.68	169.12
90785	-43.75	15.56	-62.29	32.6	-47.4	311.3	-83.65	206.25	-67.98	149.44	-55.19	23.63	-25.54	350.55	-44.64	168.78
90786	-43.71	15.9	-62.17	33.07	-47.54	311.6	-83.75	204.21	-67.86	148.87	-55.11	24.04	-25.55	350.82	-44.6	168.43
90787	-43.67	16.24	-62.05	33.54	-47.68	311.9	-83.85	202.1	-67.73	148.31	-55.03	24.45	-25.56	351.1	-44.56	168.09
90788	-43.62	16.57	-61.94	34	-47.83	312.2	-83.94	199.92	-67.6	147.75	-54.95	24.86	-25.58	351.37	-44.52	167.74
90789	-43.58	16.91	-61.81	34.46	-47.97	312.5	-84.02	197.69	-67.47	147.2	-54.87	25.27	-25.59	351.65	-44.48	167.4
90790	-43.53	17.25	-61.69	34.92	-48.11	312.81	-84.09	195.39	-67.34	146.65	-54.78	25.68	-25.6	351.92	-44.44	167.06
90791	-43.49	17.58	-61.57	35.37	-48.25	313.11	-84.15	193.04	-67.2	146.12	-54.7	26.08	-25.61	352.2	-44.39	166.72
90792	-43.44	17.92	-61.44	35.82	-48.39	313.42	-84.21	190.65	-67.06	145.58	-54.61	26.48	-25.62	352.47	-44.35	166.38
90793	-43.39	18.26	-61.32	36.27	-48.53	313.73	-84.25	188.22	-66.93	145.06	-54.53	26.88	-25.63	352.75	-44.3	166.04
90794	-43.34	18.59	-61.19	36.71	-48.67	314.04	-84.28	185.75	-66.79	144.54	-54.44	27.28	-25.64	353.02	-44.25	165.7
90795	-43.3	18.92	-61.06	37.15	-48.81	314.35	-84.3	183.27	-66.64	144.02	-54.35	27.68	-25.65	353.3	-44.2	165.36
90796	-43.25	19.26	-60.93	37.58	-48.95	314.67	-84.31	180.77	-66.5	143.52	-54.26	28.08	-25.66	353.57	-44.15	165.02
90797	-43.19	19.59	-60.8	38.02	-49.08	314.98	-84.3	178.27	-66.35	143.01	-54.17	28.47	-25.67	353.85	-44.1	164.68
90798	-43.14	19.92	-60.67	38.44	-49.22	315.3	-84.29	175.78	-66.2	142.52	-54.08	28.87	-25.67	354.12	-44.05	164.34
90799	-43.09	20.26	-60.53	38.87	-49.35	315.62	-84.27	173.3	-66.06	142.03	-53.98	29.26	-25.68	354.4	-43.99	164
90800	-43.04	20.59	-60.4	39.29	-49.49	315.94	-84.23	170.84	-65.9	141.55	-53.89	29.65	-25.69	354.67	-43.94	163.67
90801	-42.98	20.92	-60.26	39.71	-49.62	316.26	-84.19	168.42	-65.75	141.07	-53.79	30.03	-25.7	354.95	-43.88	163.33
90802	-42.93	21.25	-60.13	40.13	-49.76	316.59	-84.13	166.04	-65.6	140.6	-53.7	30.42	-25.7	355.22	-43.83	163
90803	-42.87	21.58	-59.99	40.54	-49.89	316.91	-84.07	163.71	-65.44	140.13	-53.6	30.81	-25.71	355.5	-43.77	162.66
90804	-42.81	21.91	-59.85	40.95	-50.02	317.24	-84	161.44	-65.28	139.67	-53.5	31.19	-25.72	355.77	-43.71	162.33
90805	-42.76	22.24	-59.71	41.35	-50.15	317.57	-83.91	159.22	-65.13	139.22	-53.4	31.57	-25.72	356.05	-43.65	162
90806	-42.7	22.57	-59.56	41.76	-50.28	317.9	-83.82	157.07	-64.96	138.77	-53.3	31.95	-25.73	356.32	-43.59	161.67
90807	-42.64	22.89	-59.42	42.16	-50.41	318.23	-83.72	154.98	-64.8	138.32	-53.19	32.33	-25.73	356.6	-43.52	161.33
90808	-42.58	23.22	-59.28	42.55	-50.54	318.57	-83.61	152.96	-64.64	137.89	-53.09	32.7	-25.73	356.87	-43.46	161
90809	-42.52	23.55	-59.13	42.94	-50.66	318.9	-83.49	151.01	-64.48	137.45	-52.99	33.08	-25.74	357.15	-43.4	160.67
90810	-42.46	23.87	-58.98	43.33	-50.79	319.24	-83.37	149.14	-64.31	137.03	-52.88	33.45	-25.74	357.43	-43.33	160.34
90811	-42.39	24.2	-58.84	43.72	-50.91	319.58	-83.23	147.33	-64.14	136.6	-52.77	33.82	-25.75	357.7	-43.26	160.02
90812	-42.33	24.52	-58.69	44.1	-51.04	319.92	-83.1	145.6	-63.97	136.19	-52.67	34.19	-25.75	357.98	-43.19	159.69
90813	-42.27	24.85	-58.54	44.48	-51.16	320.26	-82.95	143.94	-63.8	135.78	-52.56	34.56	-25.75	358.25	-43.13	159.36
90814	-42.2	25.17	-58.39	44.86	-51.28	320.61	-82.8	142.34	-63.63	135.37	-52.45	34.92	-25.75	358.53	-43.06	159.04
90815	-42.14	25.49	-58.24	45.23	-51.41	320.95	-82.65	140.81	-63.46	134.97	-52.34	35.29	-25.75	358.8	-42.98	158.71
90816	-42.07	25.82	-58.08	45.61	-51.53	321.3	-82.49	139.35	-63.29	134.57	-52.22	35.65	-25.76	359.08	-42.91	158.39
90817	-42	26.14	-57.93	45.97	-51.65	321.65	-82.32	137.94	-63.11	134.18	-52.11	36.01	-25.76	359.35	-42.84	158.06
90818	-41.94	26.46	-57.78	46.34	-51.77	322	-82.15	136.6	-62.94	133.8	-52	36.37	-25.76	359.63	-42.77	157.74
90819	-41.87	26.78	-57.62	46.7	-51.88	322.35	-81.98	135.32	-62.76	133.42	-51.88	36.72	-25.76	359.91	-42.69	157.42
90820	-41.8	27.1	-57.46	47.06	-52	322.71	-81.8	134.09	-62.58	133.04	-51.77	37.08	-25.76	0.18	-42.61	157.1
90821	-41.73	27.42	-57.31	47.42	-52.12	323.07	-81.62	132.91	-62.4	132.67	-51.65	37.43	-25.76	0.46	-42.54	156.78
90822	-41.66	27.74	-57.15	47.77	-52.23	323.42	-81.44	131.78	-62.22	132.3	-51.53	37.78	-25.75	0.73	-42.46	156.46
90823	-41.58	28.05	-56.99	48.12	-52.35	323.78	-81.25	130.71	-62.04	131.94	-51.41	38.13	-25.75	1.01	-42.38	156.14
90824	-41.51	28.37	-56.83	48.47	-52.46	324.15	-81.06	129.67	-61.86	131.58	-51.3	38.48	-25.75	1.28	-42.3	155.82
90825	-41.44	28.69	-56.67	48.81	-52.57	324.51	-80.86	128.69	-61.68	131.23	-51.18	38.83	-25.75	1.56	-42.22	155.5
90826	-41.36	29	-56.51	49.15	-52.68	324.87	-80.67	127.74	-61.49	130.88	-51.05	39.17	-25.75	1.83	-42.13	155.19
90827	-41.29	29.32	-56.34	49.49	-52.8	325.24	-80.47	126.83	-61.31	130.53	-50.93	39.52	-25.74	2.11	-42.05	154.87
90828	-41.21	29.63	-56.18	49.83	-52.9	325.61	-80.27	125.96	-61.12	130.19	-50.81	39.86	-25.74	2.38	-41.97	154.56
90829	-41.14	29.95	-56.02	50.16	-53.01	325.98	-80.06	125.13	-60.93	129.85	-50.69	40.2	-25.74	2.66	-41.88	154.25
90830	-41.06	30.26	-55.85	50.49	-53.12	326.35	-79.86	124.33	-60.75	129.52	-50.56	40.54	-25.73	2.94	-41.8	153.93
90831	-40.98	30.57	-55.69	50.82	-53.23	326.73	-79.65	123.56	-60.56	129.19	-50.43	40.87	-25.73	3.21	-41.71	153.62
90832	-40.91	30.88	-55.52	51.15	-53.33	327.1	-79.44	122.83	-60.37	128.87	-50.31	41.21	-25.72	3.49	-41.62	153.31
90833	-40.83	31.2	-55.35	51.47	-53.44	327.48	-79.23	122.12	-60.18	128.55	-50.18	41.54	-25.72	3.76	-41.53	153
90834	-40.75	31.51	-55.19	51.79	-53.54	327.86	-79.02	121.44	-59.98	128.23	-50.05	41.87	-25.71	4.04	-41.44	152.69
90835	-40.67	31.82	-55.02	52.11	-53.64	328.24	-78.81	120.78	-59.79	127.92	-49.92	42.2	-25.71	4.31	-41.35	152.39
90836	-40.59	32.13	-54.85	52.43	-53.74	328.62	-78.59	120.15	-59.6	127.61	-49.79	42.53	-25.7	4.59	-41.26	152.08
90837	-40.5	32.43	-54.68	52.74	-53.84	329.01	-78.37	119.55	-59.4	127.31	-49.66	42.86	-25.69	4.86	-41.17	151.77
90838	-40.42	32.74	-54.51	53.05	-53.94	329.4	-78.16	118.96	-59.21	127.01	-49.53	43.18	-25.68	5.14	-41.07	151.47
90839	-40.34	33.05	-54.33	53.36	-54.04	329.78	-77.94	118.4	-59.01	126.71	-49.4	43.5	-25.68	5.41	-40.98	151.16
90840	-40.26	33.35	-54.16	53.66	-54.13	330.17	-77.72	117.86	-58.82	126.41	-49.27	43.83	-25.67	5.69	-40.88	150.86
90841	-40.17	33.66	-53.99	53.97	-54.23	330.57	-77.5	117.34	-58.62	126.12	-49.13	44.15	-25.66	5.96	-40.78	150.56
90842	-40.09	33.96	-53.82	54.27	-54.32	330.96	-77.27	116.84	-58.42	125.84	-49	44.46	-25.65	6.24	-40.69	150.26
90843	-40	34.27	-53.64	54.57	-54.42	331.35	-77.05	116.35	-58.22	125.55	-48.86	44.78	-25.64	6.51	-40.59	149.96
90844	-39.91	34.57	-53.47	54.86	-54.51	331.75	-76.83	115.88	-58.03	125.27	-48.73	45.1	-25.63	6.79	-40.49	149.66
90845	-39.83	34.87	-53.29	55.16	-54.6	332.15	-76.6	115.43	-57.83	125	-48.59	45.41	-25.62	7.06	-40.39	149.36
90846	-39.74	35.18	-53.12	55.45	-54.69	332.55	-76.37	114.99	-57.63	124.72	-48.45	45.72	-25.61	7.34	-40.29	149.06
