Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
427009	24.84433202	195.4029905	44.10534097	204.3666051	32.82212501	146.9902502	77.12458947	180.6483811	76.23215492	269.8179123	36.32706369	199.9793828	6.862297982	174.4888105	62.01396052	336.5281912	
427010	24.80321771	195.6690045	44.01631309	204.6842397	32.92667971	147.254068	77.11912103	181.7473799	75.98760897	269.768493	36.26069914	200.2717442	6.869583662	174.7352512	61.93458411	336.0348326	
427011	24.7614216	195.9348003	43.92620983	205.0008078	33.03048556	147.5186159	77.10886339	182.845029	75.74306388	269.7198575	36.19341576	200.5635322	6.876525993	174.9817054	61.85365381	335.543909	
427012	24.71894513	196.2003749	43.83503757	205.3163029	33.13353827	147.7838927	77.09382798	183.9405128	75.49851981	269.6719652	36.12521711	200.8547411	6.883124824	175.2281725	61.77118328	335.0554459	
427013	24.67578979	196.4657252	43.7428027	205.6307191	33.23583356	148.0498974	77.07403147	185.0330255	75.25397692	269.6247781	36.05610677	201.1453656	6.889380012	175.4746518	61.68718627	334.5694673	
427014	24.63195708	196.7308483	43.64951164	205.9440506	33.33736714	148.3166289	77.04949573	186.1217744	75.00943537	269.5782607	35.98608836	201.4354002	6.895291419	175.7211426	61.60167665	334.0859957	
427015	24.58744851	196.9957411	43.55517084	206.2562918	33.43813473	148.5840858	77.02024762	187.2059832	74.76489529	269.53238	35.91516552	201.7248399	6.900858918	175.9676443	61.51466835	333.6050526	
427016	24.54226563	197.2604008	43.45978676	206.5674375	33.53813205	148.852267	76.98631895	188.2848949	74.52035683	269.4871046	35.84334191	202.0136794	6.906082385	176.2141563	61.42617538	333.1266578	
427017	24.49641	197.5248243	43.36336587	206.8774827	33.63735483	149.1211708	76.94774621	189.3577754	74.27582012	269.4424055	35.77062124	202.3019137	6.910961708	176.4606778	61.33621181	332.65083	
427018	24.44988319	197.7890089	43.26591469	207.1864224	33.73579878	149.3907958	76.90457047	190.4239156	74.0312853	269.3982551	35.69700723	202.5895381	6.915496778	176.7072082	61.24479178	332.1775864	
427019	24.40268679	198.0529516	43.16743971	207.4942522	33.83345965	149.6611404	76.8568371	191.4826341	73.78675247	269.3546276	35.62250364	202.8765476	6.919687495	176.9537469	61.15192948	331.7069431	
427020	24.35482242	198.3166497	43.06794747	207.8009678	33.93033316	149.9322026	76.80459558	192.5332795	73.54222177	269.3114989	35.54711423	203.1629377	6.923533768	177.2002931	61.05763913	331.2389149	
427021	24.30629172	198.5801004	42.96744451	208.106565	34.02641506	150.2039808	76.74789924	193.575232	73.29769331	269.2688459	35.47084281	203.4487039	6.92703551	177.4468463	60.96193498	330.7735152	
427022	24.25709633	198.8433009	42.86593738	208.4110401	34.1217011	150.476473	76.68680501	194.6079054	73.0531672	269.2266472	35.3936932	203.7338416	6.930192644	177.6934057	60.86483133	330.3107564	
427023	24.20723793	199.1062486	42.76343263	208.7143893	34.21618702	150.7496771	76.62137315	195.6307481	72.80864356	269.1848823	35.31566924	204.0183467	6.933005099	177.9399707	60.76634247	329.8506496	
427024	24.1567182	199.3689406	42.65993684	209.0166094	34.3098686	151.0235909	76.55166701	196.6432442	72.56412249	269.1435321	35.23677482	204.3022148	6.935472811	178.1865406	60.66648272	329.3932046	
427025	24.10553885	199.6313745	42.55545657	209.3176971	34.4027416	151.2982121	76.47775269	197.6449144	72.3196041	269.1025783	35.1570138	204.5854419	6.937595725	178.4331147	60.56526641	328.9384303	
427026	24.05370159	199.8935476	42.44999841	209.6176495	34.4948018	151.5735385	76.39969884	198.6353162	72.07508848	269.0620038	35.0763901	204.8680241	6.939373791	178.6796924	60.46270785	328.4863342	
427027	24.00120817	200.1554573	42.34356893	209.9164639	34.58604499	151.8495675	76.3175763	199.6140441	71.83057573	269.0217923	34.99490766	205.1499573	6.940806969	178.926273	60.35882135	328.036923	
427028	23.94806034	200.4171011	42.23617472	210.2141378	34.67646696	152.1262965	76.23145792	200.5807299	71.58606596	268.9819283	34.91257042	205.431238	6.941895224	179.1728559	60.25362121	327.5902021	
427029	23.89425988	200.6784765	42.12782236	210.5106689	34.76606353	152.4037228	76.1414182	201.5350418	71.34155925	268.9423971	34.82938233	205.7118625	6.942638529	179.4194403	60.14712171	327.1461758	
427030	23.83980857	200.939581	42.01851845	210.8060551	34.85483052	152.6818436	76.04753307	202.4766844	71.0970557	268.9031849	34.7453474	205.9918271	6.943036864	179.6660256	60.03933709	326.7048476	
427031	23.78470822	201.2004122	41.90826954	211.1002945	34.94276376	152.960656	75.94987966	203.4053977	70.8525554	268.8642785	34.66046962	206.2711286	6.943090219	179.9126111	59.93028158	326.2662199	
427032	23.72896064	201.4609676	41.79708224	211.3933855	35.0298591	153.240157	75.84853599	204.3209561	70.60805845	268.8256653	34.574753	206.5497635	6.942798587	180.1591962	59.81996936	325.8302941	
427033	23.67256769	201.721245	41.6849631	211.6853267	35.11611239	153.5203435	75.74358078	205.2231679	70.36356492	268.7873334	34.48820157	206.8277287	6.942161972	180.4057801	59.70841456	325.3970707	
427034	23.6155312	201.981242	41.57191871	211.9761167	35.20151952	153.801212	75.63509322	206.1118734	70.1190749	268.7492713	34.40081939	207.1050211	6.941180383	180.6523623	59.59563128	324.9665491	
